From	Date	Category	Amount
Thrik	2/1/2025	Legacy	20.0
Isol	2/1/2025	Legacy	1.0
Bigred	2/1/2025	Legacy	2.0
Sayagirl	2/1/2025	Legacy	3.0
Ynnfr	2/1/2025	Legacy	2.2
Silfraya	2/1/2025	Legacy	1.0
Lithina	2/1/2025	Legacy	0.5
Littlebang	2/1/2025	Legacy	1.0
Ungala	2/1/2025	Legacy	1.0
Tobias	2/1/2025	Legacy	7.5
Vangore	2/1/2025	Legacy	1.0
Chubby	2/1/2025	Legacy	1.0
Gheralt	2/1/2025	Legacy	2.0
Yerinn	2/1/2025	Legacy	1.0
Dariandis	2/1/2025	Legacy	1.0
Rabone	2/1/2025	Legacy	2.0
Gheralt	2/5/2025	Legacy	3.0
Kilrina	2/6/2025	Legacy	1.0
Spinesurgeon	2/7/2025	Legacy	6.0
Thrik	2/7/2025	Legacy	3.0
Betopapado	2/7/2025	Legacy	4.0
Sapdaddy	2/7/2025	Legacy	1.0
Chubby	2/7/2025	Legacy	1.0
Artoriusvigo	2/7/2025	Legacy	0.5
Dhstorage	2/7/2025	Legacy	33.0
Bigred	2/7/2025	Legacy	1.0
Madpali	2/7/2025	Legacy	1.0
Sayagirl	2/7/2025	Legacy	0.5
Lithina	2/7/2025	Legacy	0.5
Bittyboom	2/7/2025	Legacy	2.0
Thrik	2/7/2025	Legacy	2.0
Sayagirl	2/7/2025	Legacy	1.0
Taresitia	2/7/2025	Legacy	1.0
Ironskin	2/8/2025	Legacy	1.0
Ellyea	2/8/2025	Legacy	4.0
Tobias	2/8/2025	Legacy	1.0
Thrik	2/8/2025	Legacy	4.0
Sayagirl	2/8/2025	Legacy	1.0
Mcfrostyy	2/8/2025	Legacy	1.0
Darthrogue	2/8/2025	Legacy	1.0
Madpali	2/8/2025	Legacy	1.0
Ynnfr	2/8/2025	Legacy	1.0
Lebeau	2/8/2025	Legacy	2.0
Portnoy	2/8/2025	Legacy	2.0
Darthhunt	2/8/2025	Legacy	2.0
Hammerforth	2/8/2025	Legacy	5.0
Ynnfr	2/8/2025	Legacy	2.0
Silfraya	2/8/2025	Legacy	1.0
Artoriusvigo	2/8/2025	Legacy	1.0
Isol	2/8/2025	Legacy	1.0
Thrik	2/9/2025	Legacy	1.0
Tankaroo	2/9/2025	Legacy	1.0
Spinesurgeon	2/9/2025	Legacy	2.0
Darthhunt	2/9/2025	Legacy	1.5
Hammerforth	2/9/2025	Legacy	5.0
Ellyea	2/9/2025	Legacy	1.0
Dhstorage	2/9/2025	Legacy	1.0
Hcfrostbloom	2/9/2025	Legacy	10.0
Lithina	2/9/2025	Legacy	0.5
Isol	2/9/2025	Legacy	1.0
Silfraya	2/9/2025	Legacy	0.5
Gheralt	2/9/2025	Legacy	0.5
Ellyea	2/9/2025	Legacy	2.0
Thrik	2/9/2025	Legacy	4.0
Hammerforth	2/9/2025	Legacy	5.0
Ynnfr	2/9/2025	Legacy	3.0
Darthrogue	2/9/2025	Legacy	2.0
Darthhunt	2/9/2025	Legacy	2.0
Tobias	2/9/2025	Legacy	0.5
Ungola	2/9/2025	Legacy	2.0
Sayagirl	2/9/2025	Legacy	1.0
Atica	2/9/2025	Legacy	0.5
Sayagirl	2/9/2025	Legacy	15.0
Ungola	2/9/2025	Legacy	8.0
Ellyea	2/9/2025	Legacy	1.5
Vixinator	2/9/2025	Legacy	1.0
Madpali	2/9/2025	Legacy	1.0
Lithina	2/9/2025	Legacy	0.5
Thrik	2/9/2025	Legacy	2.0
Artoriusvigo	2/9/2025	Legacy	1.0
Thrik	2/9/2025	Legacy	3.0
Ungola	2/10/2025	Legacy	4.0
Thrik	2/10/2025	Legacy	2.0
Darthhunt	2/10/2025	Legacy	1.0
Taresitia	2/10/2025	Legacy	1.0
Vixinator	2/10/2025	Legacy	0.5
Dhstorage	2/10/2025	Legacy	1.0
Isol	2/10/2025	Legacy	1.0
Pine	2/11/2025	Legacy	2.0
Sayagirl	2/11/2025	Legacy	0.5
Chubby	2/11/2025	Legacy	3.0
Ungola	2/11/2025	Legacy	6.0
Isol	2/11/2025	Legacy	3.0
Emberwing	2/11/2025	Legacy	1.0
Ellyea	2/11/2025	Legacy	4.0
Ushinatta	2/11/2025	Legacy	5.0
Taresitia	2/11/2025	Legacy	1.0
Darthhunt	2/11/2025	Legacy	2.0
Thrik	2/11/2025	Legacy	4.0
Ungola	2/11/2025	Legacy	1.0
Gheralt	2/11/2025	Legacy	3.0
Lithina	2/12/2025	Legacy	3.0
Tobias	2/12/2025	Legacy	1.0
